eval_set,run,run_label,seed,diversity,best_at_3,best_at_5,best_at_10,best_at_30
min5_30_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4243,0.0,0.0,0.0,0.0,0.0
min5_30_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4244,1.174603161357698,0.75,0.75,0.75,0.75
min5_30_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4245,0.0,0.0,0.0,0.0,0.0
min5_30_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4246,1.1190476304008847,0.75,0.75,0.75,0.75
min5_30_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4247,1.0952380725315638,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071
min5_30_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4248,0.0,0.0,0.0,0.0,0.0
min5_30_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4249,0.0,0.0,0.0,0.0,0.0
min5_30_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4250,1.1428571598870414,0.75,0.75,0.75,0.75
min5_30_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4251,1.0952380725315638,0.75,0.75,0.75,0.75
min5_30_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4252,0.0,0.0,0.0,0.0,0.0
min5_30_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4253,1.3428571428571427,0.75,0.75,0.75,0.75
min5_30_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4254,1.5352380752563477,0.75,0.75,0.75,0.75
min5_30_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4255,0.0,0.0,0.0,0.0,0.0
min5_30_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4256,1.3333333390099662,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071
min5_30_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4257,1.2142856915791829,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071
min5_eval,adam_multirlvr,AdamW Multi-RLVR,4242,0.0,0.0,0.0,0.0,0.0
min5_eval,adam_multirlvr,AdamW Multi-RLVR,4243,0.0,0.0,0.0,0.0,0.0
